date,county,cases
03/29/20,Albany,205
03/29/20,Allegany,6
03/29/20,Broome,29
03/29/20,Cattaraugus,4
03/29/20,Cayuga,2
03/29/20,Chautauqua,5
03/29/20,Chemung,15
03/29/20,Chenango,15
03/29/20,Clinton,13
03/29/20,Columbia,23
03/29/20,Cortland,6
03/29/20,Delaware,8
03/29/20,Dutchess,320
03/29/20,Erie,358
03/29/20,Essex,4
03/29/20,Franklin,6
03/29/20,Fulton,1
03/29/20,Genesee,9
03/29/20,Greene,7
03/29/20,Hamilton,2
03/29/20,Herkimer,10
03/29/20,Jefferson,7
03/29/20,Lewis,2
03/29/20,Livingston,10
03/29/20,Madison,24
03/29/20,Monroe,219
03/29/20,Montgomery,6
03/29/20,Nassau,6445
03/29/20,Niagara,38
03/29/20,New York City,33768
03/29/20,Oneida,26
03/29/20,Onondaga,152
03/29/20,Ontario,18
03/29/20,Orange,1247
03/29/20,Orleans,3
03/29/20,Oswego,8
03/29/20,Otsego,10
03/29/20,Putnam,144
03/29/20,Rensselaer,39
03/29/20,Rockland,2209
03/29/20,Saratoga,102
03/29/20,Schenectady,76
03/29/20,Schoharie,5
03/29/20,Schuyler,1
03/29/20,St. Lawrence,12
03/29/20,Steuben,17
03/29/20,Suffolk,5023
03/29/20,Sullivan,88
03/29/20,Tioga,4
03/29/20,Tompkins,52
03/29/20,Ulster,146
03/29/20,Warren,18
03/29/20,Washington,7
03/29/20,Wayne,12
03/29/20,Westchester,8519
03/29/20,Wyoming,8
